9604,367
8359,6880
8359,6883
8570,23405
8570,57510
8570,29102
8570,207
8570,9757
8570,6895
8570,54487
2272,1499
2272,51176
22916,3838
22916,3837
22916,4686
3308,4790
3308,5970
3308,5966
3308,4792
25920,5432
3312,10273
7936,5432
567,2217
567,3133
567,3077
567,912
567,7037
567,3140
3977,5008
3977,3976
3977,1270
11235,10494
11235,8428
11235,83605
183,5972
445,57407
5074,7431
4686,8106
4686,1977
4686,5976
4686,26986
10432,26053
8367,8352
8367,8805
8367,23476
8367,4171
8367,3276
8367,7158
8367,25842
8367,79829
8367,10419
8367,1058
8367,10785
8367,333932
8367,1616
8367,3020
8367,5931
8367,8520
8367,2271
8367,1387
8367,8290
27185,81565
27185,10989
8536,805
8536,5777
5290,1739
5290,1439
5290,5296
5290,5295
5291,4683
5291,5295
5621,23405
5621,27327
5621,26523
5621,27161
814,805
5294,5579
5294,8678
9230,332
9230,7813
9517,171546
9517,10558
9517,165679
55304,171546
55304,10558
55304,165679
10558,94103
10558,171546
10558,165679
10558,19
22992,5970
868,84433
868,1956
868,30011
868,7322
868,7182
7469,5432
6949,4683
4928,8480
7508,1643
7508,2965
7508,2071
6667,2959
6667,30009
6667,2274
6667,1029
6667,7157
6667,4613
6667,6879
6667,7528
6667,3065
7507,2067
7507,8924
7507,5591
7507,8061
7507,6117
7507,6118
84265,10621
84265,10623
155,6455
155,6456
155,6457
84456,1876
84456,1874
84456,1871
84456,1870
84456,1869
5289,22863
5289,51100
5289,921
5289,8678
5289,7405
22878,27095
5639,10413
55317,91056
55317,55745
58485,27095
4149,4609
4149,8242
4149,8464
4149,8295
4149,4601
4149,63978
4149,27097
4149,4613
4149,2648
4149,6880
27095,60684
27095,7109
27095,80006
27095,51112
27095,790
27095,79090
27095,122553
27095,2194
27095,51399
578,9927
578,598
578,637
578,4170
578,55669
1487,5932
1487,672
1488,5932
84878,51341
7251,9146
3705,1387
3705,23411
3672,3688
3673,3688
3673,2274
3675,2274
3676,5829
3676,10006
3676,960
3678,3688
3678,8829
3679,2274
80153,55802
2975,2976
23644,192669
23644,55802
23096,55971
335,3931
7514,57379
7514,23405
7514,7157
7514,9219
7514,51068
7514,675
7514,7153
7514,26523
7514,1660
7514,2146
7514,27161
7514,1052
7514,5888
7514,10073
26036,4173
26036,7329
2596,805
7276,351
571,672
6708,6710
7272,83540
7272,10403
7272,147841
7272,57405
9402,3937
7273,8557
7273,23363
7273,84033
3269,6455
3269,6456
3269,6457
8844,5894
22808,5894
64216,5442
8028,84444
8028,1499
8028,6925
1271,1270
51574,10614
51574,9188
51574,6917
51574,23476
51574,1025
29882,26271
29882,996
29882,29945
29882,27338
51433,29945
29945,701
29945,51343
29945,26271
29945,8697
29945,996
29945,25847
29945,8881
29945,991
29945,51434
29945,64682
29945,4085
29945,246184
29945,51529
29945,10393
29945,119504
29945,25906
3687,3689
6195,1027
6195,4084
6196,6850
6197,3356
6197,5337
9252,55818
317762,10413
5716,55662
7150,4824
5718,7189
3683,3383
8431,2494
8431,2874
8431,3065
8431,8841
23705,56253
959,958
27244,84219
83667,54468
83667,84219
143686,84219
4043,6272
4043,7804
4043,7436
4090,29102
4090,1655
4091,494470
4092,64750
4092,494470
4092,23327
4092,57154
4092,10413
4086,29102
4086,58190
4086,10106
4086,10217
4086,64750
4086,1655
4087,64750
4087,1147
4087,10217
4087,58190
4088,29102
4088,1147
4088,23327
4088,1655
80198,146956
2305,7153
4528,4793
9894,26268
9894,57521
9894,253260
54468,84219
10042,84661
3482,3481
8888,55795
57162,3654
57162,51135
246330,3654
57161,3654
375,9266
375,26259
1163,1017
